this line, shouldnt be in the map
Kimberley 2017-07-24, 24.764238,-28.738297
Genesis All-Suite Hotel 2017-07-27, 28.09925,-26.14754
1322 Backpackers 2017-08-04, 28.24582,-25.746656
Pick 'n Pay 2017-08-04, 28.236155,-25.749665
Cape Union Mart 2017-08-05, 28.250406,-25.861204
Maropeng Cradle of Humankind Museum. The Tumulus building 2017-08-06, 27.662402,-25.967145
Potchefstroom 2017-08-07, 27.095833,-26.707777
Adato Guesthouse 2017-08-07, 27.093789,-26.709421
ABSA 2017-08-07, 27.104182,-26.713935
Malealea Lodge 2017-08-08, 27.600176,-29.828486
Roma Trading Post Lodge 2017-08-08, 27.703911,-29.442986
Rhino and Lion Nature Reserve 2017-08-08, 27.791716,-25.970685
Woodpecker Guesthouse 2017-08-08, 27.881749,-28.86722
Teyateyaneng 2017-08-08, 27.742755,-29.151971
Hlotse (Leribe) 2017-08-08, 28.057941,-28.866891
Dinosaur Prints 2017-08-08, 28.07504,-28.823455
Welkom 2017-08-08, 26.737958,-27.982297
Mountain Zebra National Park Entrance Gate 2017-08-08, 25.509604,-32.140931
Metolong Dam 2017-08-08, 27.776588,-29.335376
Tsikoane ACL Mission 2017-08-09, 27.993914,-28.90155
Semongkong Lodge 2017-08-09, 28.043529,-29.84323
Ouh La La Cafè 2017-08-10, 27.480687,-29.31389
Piri Piri 2017-08-10, 27.473669,-29.315899
Regal restaurant 2017-08-10, 27.478187,-29.313127
Backpackers Paradise and Joyrides 2017-08-10, 22.205189,-33.579822
Bloemfontein 2017-08-10, 26.215506,-29.116384
New Bethesda 2017-08-10, 24.556957,-31.866391
Cape Paradise Lodge 2017-08-11, 18.402489,-33.939762
Afri-Ski Resort 2017-08-12, 28.729169,-28.826963
Pioneer Mall (Pick n Pay) 2017-08-12, 27.477388,-29.317025
Building 2017-08-12, 28.259003,-28.75645
Bethlehem 2017-08-13, 28.308888,-28.230833
Bokmakierie and Hoephoep Guest House 2017-08-13, 28.328447,-28.225832
Graveyard 2017-08-14, 24.960055,-31.195411
The Karoo Lamb 2017-08-14, 24.552554,-31.86738
The Village Inn Restaurant & Karoo Kitchen 2017-08-14, 24.552388,-31.867108
The Barn Restaurant & Pizzeria 2017-08-14, 24.552184,-31.865883
The Blue Mosque 2017-08-14, 28.976826,41.005386
Hagia Sophia 2017-08-14, 28.979969,41.008481
Knysna 2017-08-17, 23.048482,-34.035719
Belvedere 2017-08-20, 23,-34.041666
Mossel Bay 2017-08-20, 22.153611,-34.183214
Unknown Place 2017-08-20, 19.998549,-34.834169
The Roundhouse Guesthouse 2017-08-21, 19.357528,-34.561375
Coffee On The Rocks 2017-08-21, 19.366184,-34.55436
La Felicita 2017-08-24, 18.856634,-34.063523
Fugard Theatre 2017-08-25, 18.424591,-33.927141
Royale Eatery 2017-08-25, 18.414863,-33.926455
Unknown Place 2017-08-25, 18.423118,-33.928094
Greenmarket Square 2017-08-28, 18.419828,-33.922923
Fianarantsoa 2017-05-08, 47.090344,-21.44778
Moramanga 2017-05-08, 48.230621,-18.943829
Restaurant Little India 2017-06-26, 47.524135,-18.910293
Hôtel-Restaurant Niaouly 2017-06-26, 47.529531,-18.914354
Catholic Cathedral of Andohalo 2017-06-26, 47.53072,-18.917742
Maison Jean Laborde 2017-06-26, 47.531138,-18.917947
Andafiavaratra 2017-06-26, 47.532844,-18.920911
Viewpoint 2017-06-26, 47.531092,-18.92444
Rova 2017-06-26, 47.532184,-18.923501
Saka-Express 2017-06-26, 47.521576,-18.908171
Café de la Gare (Soarano) 2017-06-26, 47.520723,-18.903585
Grace Lodge 2017-06-27, 48.410471,-18.947662
Feon'Ny Ala 2017-06-27, 48.418547,-18.946939
Vakôna Forest Lodge 2017-06-27, 48.435104,-18.889679
CSB II Ambohibary 2017-06-27, 48.22781,-18.916162
Morondava 2017-06-29, 44.279392,-20.289634
Trecigogne 2017-06-29, 44.268842,-20.301882
La Campannina 2017-06-30, 44.269432,-20.296363
Belo sur Tsiribihina 2017-07-01, 44.548355,-19.701444
Mad Zébu 2017-07-03, 44.546027,-19.70377
Belo sur Mer 2017-07-05, 44.002005,-20.736302
Ecolodge de Menabe 2017-07-05, 43.995461,-20.745651
Andranopasy 2017-07-06, 43.740538,-21.278379
Morombe 2017-07-06, 43.360558,-21.743955
My Position 2017-07-06, 43.739062,-21.277732
Andavadoaka 2017-07-07, 43.238099,-22.073602
Coco Beach 2017-07-09, 43.235117,-22.076412
Salary Avaratra 2017-07-10, 43.289259,-22.579475
My Position 2017-07-11, 43.595909,-23.066886
L'Escapade 2017-07-12, 43.679789,-23.354533
Ranohira 2017-07-12, 45.415707,-22.557214
Le Palmier 2017-07-12, 43.675082,-23.348047
Orchidée de l'Isalo 2017-07-13, 45.414207,-22.556587
Forest 2017-07-15, 44.77815,-19.029897
Petits Tsingy 2017-07-15, 44.812942,-19.141207
Ambalavao 2017-07-15, 46.937474,-21.831986
Church 2017-07-15, 47.103669,-21.409796
Zomatel 2017-07-15, 47.08672,-21.454755
Gite Le Rianala 2017-07-16, 47.421328,-21.255771
My Position 2017-07-17, 47.09416,-21.440531
Ecole Hôtelière La Rizière 2017-07-17, 47.078584,-21.45815
Ambositra 2017-07-18, 47.244855,-20.533052
Antsirabe 2017-07-18, 47.034666,-19.871403
Hasina 2017-07-18, 47.035278,-19.86797
Chez Jenny 2017-07-18, 47.037115,-19.869748
Le Pousse-Pousse 2017-07-18, 47.03332,-19.872934
Viewpoint 2017-07-19, 47.562869,-18.760963
Lower Sabie Rest Camp 2017-07-23, 31.916728,-25.120202
Letaba Rest Camp 2017-07-24, 31.576672,-23.85438
The Pinnacle 2017-07-24, 30.854152,-24.911614
Viewpoint 2017-07-24, 30.88865,-24.876746
Lisbon Falls 2017-07-24, 30.83539,-24.860836
Bourke's Luck Potholes 2017-07-24, 30.810872,-24.674232
Three Rondavels 2017-07-24, 30.798949,-24.57375
Cullinan 2017-07-24, 28.528889,-25.670555
Premier Diamond Mine 2017-07-24, 28.514087,-25.675612
Sammy Marks 2017-07-24, 28.380243,-25.750153
Sheri's Lodge & Backpackers 2017-07-24, 30.842294,-24.933934
Nhlanganini Dam Viewpoint 2017-07-24, 31.495141,-23.933301
God's Window 2017-07-25, 30.889066,-24.876435
Wonderview 2017-07-25, 30.896818,-24.868383
Pilgrim's Rest 2017-07-25, 30.753617,-24.904369
Hospital 2017-07-26, 28.515687,-25.665742
Premier Diamond Tours 2017-07-27, 28.5163,-25.67133
Unknown Place 2017-07-30, 27.912194,-26.219359
Lion park 2017-07-30, 27.891727,-25.822964
Krispy Kreme doughnuts 2017-07-30, 28.042934,-26.145019
Pelindaba 2017-07-30, 27.919432,-25.798733
Pick n Pay Super 2017-07-31, 28.316428,-28.230767
Clarens Inn & Backpackers 2017-07-31, 28.413275,-28.515752
Generaalskop Viewpoint 2017-08-01, 28.62931,-28.52928
Oribi Loop 2017-08-01, 28.654391,-28.506186
Harrismith 2017-08-01, 29.129459,-28.272772
Platberg Harrismith Backpackers 2017-08-01, 29.129457,-28.269678
Mantis and Moon Backpackers Lodge 2017-08-02, 30.542313,-30.624273
1322 Backpackers 2017-08-03, 28.24582,-25.746656
Nederduitse Gereformeerde Kerk 2017-08-03, 27.086925,-26.691895
Unknown Place 2017-08-03, 28.246716,-25.773052
Tzaneen 2017-08-05, 30.161101,-23.831933
